mem_point_,TMRoads_os,TMRoads_fc,lng,lat
1,143564104,primary,113.43575088900,30.39183746220
2,143564104,primary,113.43618479100,30.39208591610
3,143564104,primary,113.43661869200,30.39233437000
4,143564104,primary,113.43705259400,30.39258282480
5,143564104,primary,113.43748649600,30.39283127870
6,143564104,primary,113.43792039700,30.39307973260
7,143564104,primary,113.43835429800,30.39332818650
8,143564104,primary,113.43877928900,30.39358987760
9,143564104,primary,113.43917274400,30.39389841070
10,143564104,primary,113.43956620100,30.39420694380
11,143564104,primary,113.43995965600,30.39451547690
12,143564104,primary,113.44034835500,30.39482879620
13,143564104,primary,113.44065941500,30.39522025760
14,143564104,primary,113.44097047500,30.39561171900
15,143564104,primary,113.44113280000,30.39581600000
16,143564106,primary,113.13934781400,30.61643069930
17,143564106,primary,113.13977623100,30.61617290240
18,143564106,primary,113.14020464700,30.61591510540
19,143564106,primary,113.14063223500,30.61565603140
20,143564106,primary,113.14104223000,30.61536984190
21,143564106,primary,113.14145222500,30.61508365340
22,143564106,primary,113.14186222000,30.61479746390
23,143564106,primary,113.14227221400,30.61451127540
24,143564106,primary,113.14268221000,30.61422508590
25,143564106,primary,113.14308795200,30.61393294390
26,143564106,primary,113.14349158700,30.61363785380
27,143564106,primary,113.14389522300,30.61334276380
28,143564106,primary,113.14429885800,30.61304767370
29,143564106,primary,113.14470249500,30.61275258280
30,143564106,primary,113.14509993900,30.61244927920
31,143564106,primary,113.14549480500,30.61214255280
32,143564106,primary,113.14588967100,30.61183582650
33,143564106,primary,113.14628453600,30.61152910010
34,143564106,primary,113.14667940200,30.61122237370
35,143564106,primary,113.14706145100,30.61089993440
36,143564106,primary,113.14744125700,30.61057474580
37,143564106,primary,113.14782106300,30.61024955820
38,143564106,primary,113.14819817400,30.60992132720
39,143564106,primary,113.14856677500,30.60958349240
40,143564106,primary,113.14893537700,30.60924565670
41,143564106,primary,113.14930397800,30.60890782090
42,143564106,primary,113.14967227400,30.60856965340
43,143564106,primary,113.15003929900,30.60823010530
44,143564106,primary,113.15040632300,30.60789055640
45,143564106,primary,113.15077334700,30.60755100840
46,143564106,primary,113.15114037200,30.60721145940
47,143564106,primary,113.15150739600,30.60687191050
